date,startup,vertical,subvertical,city,investors,round,amount,Date
03/08/2016,flickbay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,7.39,2016-08-03
04/08/2016,petoo,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,4.15,2016-08-04
04/08/2016,lehlehsports,Others,Sports Arena discovery,New Delhi,Anglian Omega Network,Seed Funding,0.0,2016-08-04
05/08/2016,tricog,Healthcare,Healthcare Analytics Platform,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,0.0,2016-08-05
06/08/2016,vsttravels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,0.22,2016-08-06
08/08/2016,adpushup,Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,0.0,2016-08-08
08/08/2016,weflyindoorskydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,0.33,2016-08-08
08/08/2016,mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,3.69,2016-08-08
08/08/2016,zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,1.66,2016-08-08
09/08/2016,mobident,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0.0,2016-08-09
09/08/2016,zeolrrespiron,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0.0,2016-08-09
10/08/2016,vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,4.15,2016-08-10
10/08/2016,bombayshaving,eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,4.98,2016-08-10
11/08/2016,travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,58.1,2016-08-11
11/08/2016,91springboard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,0.0,2016-08-11
11/08/2016,genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,1.73,2016-08-11
11/08/2016,zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,124.5,2016-08-11
12/08/2016,crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,12.45,2016-08-12
12/08/2016,faircentcom,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,12.45,2016-08-12
12/08/2016,innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,129.48,2016-08-12
12/08/2016,cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,4.15,2016-08-12
12/08/2016,funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,0.0,2016-08-12
15/08/2016,buttercups,ECommerce,Women Intimate Wear eTailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,0.0,2016-08-15
16/08/2016,zappfresh,ECommerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Funding,0.0,2016-08-16
16/08/2016,oyorooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,514.6,2016-08-16
16/08/2016,hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,1452.5,2016-08-16
16/08/2016,joolz,eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,4.15,2016-08-16
16/08/2016,salebhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,12.45,2016-08-16
16/08/2016,makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,2.08,2016-08-16
16/08/2016,gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,0.0,2016-08-16
17/08/2016,maalgaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,3.11,2016-08-17
17/08/2016,zipi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,0.0,2016-08-17
17/08/2016,appknox,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,5.6,2016-08-17
17/08/2016,pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,0.0,2016-08-17
18/08/2016,meesho,eCommerce,Mobile based eCommerce SAAS platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,0.0,2016-08-18
18/08/2016,sesamesoftware,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,0.0,2016-08-18
19/08/2016,quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,166.0,2016-08-19
19/08/2016,digio,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,3.11,2016-08-19
19/08/2016,ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,0.0,2016-08-19
22/08/2016,zzungry,Consumer Internet,Food Delivery platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,0.0,2016-08-22
22/08/2016,purowellness,healthcare,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,307.1,2016-08-22
22/08/2016,fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,0.0,2016-08-22
23/08/2016,tacsecurity,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,0.0,2016-08-23
23/08/2016,notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,0.83,2016-08-23
23/08/2016,nearu,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,0.0,2016-08-23
23/08/2016,octoai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,1.66,2016-08-23
24/08/2016,shaadisaga,Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,0.0,2016-08-24
24/08/2016,unaacademy,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,8.3,2016-08-24
24/08/2016,advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,0.83,2016-08-24
24/08/2016,guarented,eCommerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,4.15,2016-08-24
24/08/2016,beyondevolution,Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,0.0,2016-08-24
24/08/2016,uberdreams,eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,4.15,2016-08-24
24/08/2016,convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,7.47,2016-08-24
24/08/2016,urbanladder,eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,24.9,2016-08-24
24/08/2016,encashea,Consumer Internet,Scrap Collection and Recycling platform,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,0.0,2016-08-24
25/08/2016,engineerbabu,Technology,Mobile App & Web Development company,Indore,Scale Ventures,Seed Funding,0.0,2016-08-25
25/08/2016,cult,Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,24.9,2016-08-25
25/08/2016,witworks,Technology,Consumer IoT Startup,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,0.0,2016-08-25
25/08/2016,nearfox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,\\xc2\\xa0 Arpan Nagdeve",Seed Funding,0.0,2016-08-25
25/08/2016,zoomcar,Consumer Internet,Self-driven car booking platform,Bangalore,Ford Smart Mobility Llc,Private Equity,199.2,2016-08-25
26/08/2016,plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding,4.15,2016-08-26
26/08/2016,mobikwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,332.0,2016-08-26
26/08/2016,mydidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,4.57,2016-08-26
26/08/2016,crownit,Consumer Internet,Cashback Mobile app,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,0.0,2016-08-26
29/08/2016,loantap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,24.9,2016-08-29
29/08/2016,runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,58.1,2016-08-29
29/08/2016,zolo,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,0.0,2016-08-29
29/08/2016,notionpress,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,8.3,2016-08-29
29/08/2016,livspace,Consumer Internet,Online portal for Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,124.5,2016-08-29
30/08/2016,iaugmentor,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,1.24,2016-08-30
30/08/2016,daybox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,0.86,2016-08-30
30/08/2016,paytm,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,498.0,2016-08-30
30/08/2016,cropin,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,16.6,2016-08-30
30/08/2016,canvera,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge (India) Ltd,Private Equity,24.9,2016-08-30
30/08/2016,primefocus,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,0.0,2016-08-30
31/08/2016,flyrobe,eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,43.99,2016-08-31
31/08/2016,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,0.0,2016-08-31
01/07/2016,razorpay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,0.0,2016-07-01
01/07/2016,darwinbox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,0.0,2016-07-01
01/07/2016,venturecatalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,4.15,2016-07-01
01/07/2016,pressplaytv,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,0.0,2016-07-01
02/07/2016,playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,5.81,2016-07-02
04/07/2016,wealthtrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,0.0,2016-07-04
04/07/2016,curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,124.5,2016-07-04
04/07/2016,stitchwood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,1.66,2016-07-04
04/07/2016,grabin,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,16.6,2016-07-04
04/07/2016,fulfilio,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,0.0,2016-07-04
04/07/2016,neogrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,132.8,2016-07-04
05/07/2016,seedoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,8.3,2016-07-05
05/07/2016,bookmyshow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,680.6,2016-07-05
05/07/2016,flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,14.11,2016-07-05
06/07/2016,happilyunmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,6.14,2016-07-06
06/07/2016,donxe2x80x99tscratchyourhead,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,2.08,2016-07-06
06/07/2016,weddingwishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,2.47,2016-07-06
07/07/2016,appdaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,16.6,2016-07-07
07/07/2016,adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,8.3,2016-07-07
07/07/2016,quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,0.0,2016-07-07
07/07/2016,spectravr,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,0.0,2016-07-07
08/07/2016,pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,0.0,2016-07-08
08/07/2016,holachef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,16.18,2016-07-08
11/07/2016,purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,49.8,2016-07-11
11/07/2016,trakntell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,29.05,2016-07-11
11/07/2016,overcartcom,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,24.9,2016-07-11
12/07/2016,sirion,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,101.67,2016-07-12
12/07/2016,gyandhan,Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,0.0,2016-07-12
12/07/2016,mintm,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,\\xc2\\xa0 Times Internet",Private Equity,0.0,2016-07-12
12/07/2016,hitgrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,0.0,2016-07-12
12/07/2016,findmystay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,0.0,2016-07-12
13/07/2016,yaap,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,41.5,2016-07-13
13/07/2016,utoo,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,0.0,2016-07-13
13/07/2016,twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,4.98,2016-07-13
13/07/2016,sharechat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,11.21,2016-07-13
13/07/2016,urbantailor,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,0.0,2016-07-13
13/07/2016,rentmojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,41.5,2016-07-13
13/07/2016,cityfurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,0.0,2016-07-13
13/07/2016,healinstitute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,0.0,2016-07-13
14/07/2016,augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,3.73,2016-07-14
14/07/2016,shoppinpal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,8.88,2016-07-14
14/07/2016,transtutorsaskiitians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,0.0,2016-07-14
15/07/2016,workapps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,8.3,2016-07-15
15/07/2016,bankerbay,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,16.6,2016-07-15
15/07/2016,baggout,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,0.0,2016-07-15
15/07/2016,tripshelf,eCommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,2.08,2016-07-15
15/07/2016,satvacart,eCommerce,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,0.0,2016-07-15
15/07/2016,ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,49.8,2016-07-15
18/07/2016,yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,5.39,2016-07-18
18/07/2016,zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,5.39,2016-07-18
18/07/2016,bluestone,eCommerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,249.0,2016-07-18
18/07/2016,underdogs,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,0.0,2016-07-18
18/07/2016,imageprovision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,0.0,2016-07-18
19/07/2016,sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,83.0,2016-07-19
19/07/2016,deal4loanswishfin,Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,124.5,2016-07-19
19/07/2016,niyo,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,8.3,2016-07-19
19/07/2016,applop,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,2.08,2016-07-19
20/07/2016,tax2win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,8.3,2016-07-20
20/07/2016,truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,4.94,2016-07-20
20/07/2016,iservefinancial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,0.0,2016-07-20
21/07/2016,mytaxi,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,8.3,2016-07-21
21/07/2016,aberuk,eCommerce,Online Marketplace for books,Bangalore,Swastika Company Pvt Ltd,Seed Funding,0.0,2016-07-21
21/07/2016,wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,4.94,2016-07-21
01/06/2016,chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,0.0,2016-06-01
01/06/2016,bridgei2i,Technology,Data Analytics Platform,Bangalore,Edelweiss Private Equity,Private Equity,0.0,2016-06-01
02/06/2016,droom,eCommerce,Online marketplace for used automobiles,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,0.0,2016-06-02
02/06/2016,visit,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Funding,0.0,2016-06-02
02/06/2016,atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,8.3,2016-06-02
02/06/2016,coutloot,eCommerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,0.0,2016-06-02
02/06/2016,limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,8.3,2016-06-02
03/06/2016,icliniq,Consumer Internet,Doctor Consultation platform,Bangalore,MadhanKumar Madathupalayam,Seed Funding,0.0,2016-06-03
03/06/2016,gogotruck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,0.62,2016-06-03
03/06/2016,vyomebiosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,16.6,2016-06-03
06/06/2016,sillymonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,3.72,2016-06-06
07/06/2016,cuemath,Education,K-12 Maths Learning Courses,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,33.2,2016-06-07
07/06/2016,krazybee,Consumer Internet,Student Micro-Loan platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,16.6,2016-06-07
07/06/2016,intgrea,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,0.83,2016-06-07
07/06/2016,helpshift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,190.9,2016-06-07
07/06/2016,creditvidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,8.3,2016-06-07
08/06/2016,greycampus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,8.3,2016-06-08
08/06/2016,listup,eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,4.15,2016-06-08
08/06/2016,6degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,1.66,2016-06-08
08/06/2016,shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,0.0,2016-06-08
08/06/2016,cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,0.0,2016-06-08
08/06/2016,storeking,eCommerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Private Equity,132.8,2016-06-08
08/06/2016,wiredhub,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,0.0,2016-06-08
08/06/2016,myseniordoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,1.66,2016-06-08
09/06/2016,teabox,eCommerce,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,0.0,2016-06-09
09/06/2016,extraaedge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,0.0,2016-06-09
09/06/2016,epaylater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,16.6,2016-06-09
10/06/2016,kyazoonga,eCommerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Funding,0.0,2016-06-10
10/06/2016,paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,4.15,2016-06-10
10/06/2016,kickstartjobs,Technology,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,0.0,2016-06-10
10/06/2016,freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private Equity,Private Equity,0.0,2016-06-10
10/06/2016,madratgames,Technology,Wearable Gaming Platform,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,0.0,2016-06-10
11/06/2016,jazzmyride,eCommerce,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile Solutions Ltd,Private Equity,0.0,2016-06-11
11/06/2016,autosense,Technology,Data Analytics based Customer Management Services,New Delhi,TVS Automobile Solutions Ltd,Private Equity,0.0,2016-06-11
11/06/2016,redsuntelematics,Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Private Equity,0.0,2016-06-11
13/06/2016,khanagadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed Funding,0.0,2016-06-13
13/06/2016,bombayshirt,eCommerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,8.3,2016-06-13
14/06/2016,edtechreview,Consumer Internet,Education based online portal,New Delhi,EVC Ventures,Seed Funding,0.0,2016-06-14
14/06/2016,bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,New Delhi,Valpro Capital and existing investors,Private Equity,0.0,2016-06-14
14/06/2016,gobolt,Logistics,B2B Logistics provider,New Delhi,MCube8,Seed Funding,0.0,2016-06-14
14/06/2016,jivox,Technology,Data Driven Advertising platform,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,49.8,2016-06-14
14/06/2016,sminq,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,8.3,2016-06-14
14/06/2016,curejoy,Consumer Internet,Online Alternative health community platform,Bangalore,Accel Partners India,Private Equity,36.52,2016-06-14
15/06/2016,oneway,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,3.73,2016-06-15
15/06/2016,grabonrent,eCommerce,On-demand product rental marketplace,Bangalore,IvyCap Ventures and Unicorn India Ventures,Private Equity,0.0,2016-06-15
